Domain,Orientation
emma.de,Left
unser-mitteleuropa.com,Right
hanfjournal.de,Left
freiewelt.net,Right
opposition24.com,Right
freilich-magazin.com,Right
tagesstimme.com,Right
falter.at,Left
unsertirol24.com,Right
top20radio.tv,Right
epochtimes.de,Right
legitim.ch,Right
contra24.online,Right
contra-magazin.com,Right
weltwoche.de,Right
weltwoche.ch,Right
nius.de,Right
pleiteticker.de,Right
achgut.com,Right
marialourdesblog.com,Right
compact-online.de,Right
neopresse.com,Right
sciencefiles.org,Right
reitschuster.de,Right
report24.news,Right
journalistenwatch.com,Right
pi-news.net,Right
deutschlandkurier.de,Right
deutschland-kurier.org,Right
tichyseinblick.de,Right
jungefreiheit.de,Right
vice.com,Left
derwaechter.net,Right
derwaechter.org,Right
wochenblick.at,Right
unzensuriert.at,Right
unzensuriert.de,Right
diepresse.com,Left
ef-magazin.de,Right
einreich.de,Right
jungewelt.de,Left
dieunbestechlichen.com,Right
kopp-report.de,Right
ansage.org,Right
zurzeit.at,Right
anonymousnews.org,Right
anonymousnews.ru,Right
pravda-tv.com,Right
berlinertageszeitung.de,Right
berlinertageblatt.de,Right
deutschetageszeitung.de,Right
politikstube.com,Right
naturstoff-medizin.de,Right
nd-aktuell.de,Left
neues-deutschland.de,Left
freitag.de,Left
connectiv.events,Right
taz.de,Left
fimico.de,Left
flinkfeed.com,Right
blog.halle-leaks.de,Right
